count: 00001	high: 0.6494	 avg: 0.6494	   word: various galaxies
count: 00001	high: 0.6520	 avg: 0.6520	   word: space time
count: 00001	high: 0.6607	 avg: 0.6607	   word: certain mass
count: 00001	high: 0.6654	 avg: 0.6654	   word: radial distance
count: 00001	high: 0.7380	 avg: 0.7380	   word: yukawa type
count: 00001	high: 0.7475	 avg: 0.7475	   word: solar mass
count: 00001	high: 0.7880	 avg: 0.7880	   word: static black hole
count: 00001	high: 0.7897	 avg: 0.7897	   word: size black holes
count: 00001	high: 0.7972	 avg: 0.7972	   word: massive black holes
count: 00001	high: 0.8252	 avg: 0.8252	   word: schwarzschild black holes
count: 00001	high: 0.8486	 avg: 0.8486	   word: mass yukawa schwarzschild
count: 00001	high: 0.9806	 avg: 0.9806	   word: kretschmann scalar
count: 00001	high: 0.3223	 avg: 0.3223	   word: Q-transform
count: 00001	high: 0.3228	 avg: 0.3228	   word: detection
count: 00001	high: 0.3229	 avg: 0.3229	   word: work
count: 00001	high: 0.3239	 avg: 0.3239	   word: systems
count: 00001	high: 0.3253	 avg: 0.3253	   word: sequence
count: 00001	high: 0.3260	 avg: 0.3260	   word: frequencies
count: 00001	high: 0.3266	 avg: 0.3266	   word: projection
count: 00001	high: 0.3295	 avg: 0.3295	   word: merger
count: 00001	high: 0.4347	 avg: 0.4347	   word: excess power
count: 00001	high: 0.4434	 avg: 0.4434	   word: LIGO/Virgo detectors
count: 00001	high: 0.4458	 avg: 0.4458	   word: sensitive band
count: 00001	high: 0.4466	 avg: 0.4466	   word: multiresolution basis
count: 00001	high: 0.4474	 avg: 0.4474	   word: time-frequency tiles
count: 00001	high: 0.4501	 avg: 0.4501	   word: binding energy
count: 00001	high: 0.4528	 avg: 0.4528	   word: complex exponentials
count: 00001	high: 0.4539	 avg: 0.4539	   word: method searches
count: 00001	high: 0.4609	 avg: 0.4609	   word: significant fraction
count: 00001	high: 0.4631	 avg: 0.4631	   word: power stacking
count: 00001	high: 0.4637	 avg: 0.4637	   word: burst searches
